NewsPaper Name,Location / Area,Dist. Frequency
Area Merchandiser Northern Adams York Edition,"Lebanon, PA",Weekly
Argonaut,"Los Angeles, CA",Weekly
Argus,"Fremont, CA",
Argus Leader,"Sioux Falls, SD",
Argus Leader – Pierre Bureau,"Pierre, SD",Daily
Argus Observer,"Ontario, OR",
Argus-Press,"Owosso, MI",
Arizona Daily Star,"Tucson, AZ",
Arizona Daily Sun,"Flagstaff, AZ",
Arizona Daily Wildcat,"Tucson, AZ",Daily
Arizona Informant,"Phoenix, AZ",
Arizona Republic,"Phoenix, AZ",
Arizona Republic,"Glendale, AZ",
Arizona Republic,"Scottsdale, AZ",
Arizona Republic,"Mesa, AZ",
Arizona Republic,"Gilbert, AZ",
Arizona Republic – Mesa Bureau,"Mesa, AZ",Daily
Arizona Republic – Scottsdale Bureau,"Scottsdale, AZ",Daily
Arizona Republic – Washington Bureau,"Washington, DC",Daily
Ark Valley News,"Valley Center, KS",
Arkadelphia Daily Siftings Herald,"Arkadelphia, AR",
Arkansas City Traveler,"Arkansas City, KS",
Arkansas Democrat-Gazette,"Little Rock, AR",
Arkansas Democrat-Gazette,"Lowell, AR",
Arkansas Democrat-Gazette,"Washington, DC",
Arkansas Democrat-Gazette – Benton Bureau,"Benton, AR",Daily
Arkansas Democrat-Gazette – Conway Bureau,"Conway, AR",Daily
Arkansas Democrat-Gazette – Fort Smith Bureau,"Fort Smith, AR",Daily
Arkansas Democrat-Gazette – Pine Bluff Bureau,"Pine Bluff, AR",Daily
Arkansas Democrat-Gazette – State Capitol Bureau,"Little Rock, AR",Daily
Arkansas Democrat-Gazette – Washington Bureau,"Washington, DC",Daily
Arkansas Weekend [Arkansas Democrat-Gazette],"Little Rock, AR",Daily
Arlington Catholic Herald,"Arlington, VA",Weekly
Arlington Connection,"Mclean, VA",Weekly
Arlington Star Telegram,"Arlington, TX",Weekly
Around Town,"Pompano Beach, FL",
Around Town [Tri-City Herald],"Kennewick, WA",Daily
Art & Entertainment [Blade-Empire],"Concordia, KS",Daily
Art & Entertainment [Tennessean],"Nashville, TN",Daily
Art and Travel [Post and Courier],"Charleston, SC",Daily
Artesia Daily Press,"Artesia, NM",
Arts & Entertainment [Beaufort Gazette],"Beaufort, SC",Daily
Arts & Entertainment [Boston Herald],"Boston, MA",Daily
Arts & Entertainment [Chicago Tribune],"Chicago, IL",Daily
Arts & Entertainment [Hartford Courant],"Hartford, CT",Daily
Arts & Entertainment [Indianapolis Star],"Indianapolis, IN",Daily
Arts & Entertainment [Lewiston Morning Tribune],"Lewiston, ID",Daily
Arts & Entertainment [Orlando Sentinel],"Orlando, FL",Daily
Arts & Entertainment [Plain Dealer],"Cleveland, OH",Daily
Arts & Entertainment [Press-Enterprise – Metro Edition],"Riverside, CA",Daily
Arts & Entertainment [Star Tribune],"Minneapolis, MN",Daily
Arts & Entertainment [State Journal-Register],"Springfield, IL",Daily
Arts & Leisure [Ithaca Journal],"Ithaca, NY",Daily
Arts & Leisure [New York Times],"New York, NY",Daily
Arts & Travel [Greenville News],"Greenville, SC",Daily
Arts & Travel [Savannah Morning News],"Savannah, GA",Daily
Arts [Columbus Dispatch],"Columbus, OH",Daily
Arts [Deseret News],"Salt Lake City, UT",Daily
Arts [Hartford Courant],"Hartford, CT",Daily
Arts [Kansas City Star],"Kansas City, MO",Daily
Arts [New York Times],"New York, NY",Daily
Arts [Salt Lake Tribune],"Salt Lake City, UT",Daily
Arts [San Diego Union-Tribune],"San Diego, CA",Daily
Arts [Seattle Times],"Seattle, WA",Daily
Arts [Tulsa World],"Tulsa, OK",Daily
Arts [Washington Times],"Washington, DC",Daily
Arts and Entertainment [Baltimore Sun],"Baltimore, MD",Daily
Arts and Entertainment [Christian Science Monitor],"Boston, MA",Daily
Arts and Entertainment [News & Observer],"Raleigh, NC",Daily
Arts and Entertainment [Palm Beach Post],"West Palm Beach, FL",Daily
Arts and Entertainment [Pittsburgh Post-Gazette],"Pittsburgh, PA",Daily
Arts and Entertainment [Westerly Sun],"Westerly, RI",Daily
Arts and Ideas [Arizona Republic],"Phoenix, AZ",Daily
Arts and Leisure [Courier-Journal],"Louisville, KY",Daily
Arts and Leisure [Gettysburg Times],"Gettysburg, PA",Daily
Arts and Leisure [South Florida Sun-Sentinel],"Fort Lauderdale, FL",Daily
Arts and Travel [Sarasota Herald-Tribune],"Sarasota, FL",Daily
Arts Extra [Tampa Tribune],"Tampa, FL",Daily
Arts Section [Miami Herald],"Miami, FL",Daily
Arts Week [Providence Journal],"Providence, RI",Daily
Asahi Shimbun International Satellite Edition,"Washington, DC",
Asahi Shimbun International Satellite Edition,"New York, NY",Daily
Asbarez Armenian Daily Newspaper,"Glendale, CA",Daily
Asbarez-Daily,"Glendale, CA",Daily
Asbury Park Press,"Neptune, NJ",
Asbury Park Press,"Toms River, NJ",
Asbury Park Press,"Freehold, NJ",
Asbury Park Press,"Trenton, NJ",
Asbury Park Press – Freehold Bureau,"Freehold, NJ",Daily
Asbury Park Press – Manahawkin Bureau,"Manahawkin, NJ",Daily
Asbury Park Press – Middletown Bureau,"Red Bank, NJ",Daily
Asbury Park Press – State House Bureau,"Trenton, NJ",Daily
Asbury Park Press – Toms River Bureau,"Toms River, NJ",Daily
Ascension Citizen,"Gonzales, LA",
Asheville Citizen-Times,"Asheville, NC",
Ashland Daily Tidings,"Ashland, OR",
Ashland Times-Gazette,"Ashland, OH",
Ashland Times-Gazette – Columbus Bureau,"Columbus, OH",Daily
Asian American Times,"Phoenix, AZ",Weekly
Asian Reporter,"Portland, OR",
Asian Times,"Boston, MA",Weekly
AsianWeek,"San Francisco, CA",Weekly
Aspen Daily News,"Aspen, CO",Daily
Aspen Times,"Aspen, CO",
Aspen Times Weekly,"Aspen, CO",
At Home [Bulletin],"Bend, OR",Daily
At Home [Cincinnati Enquirer],"Cincinnati, OH",Daily
At Home [Kingsport Times-News],"Kingsport, TN",Daily
At Home [Stuart News],"Stuart, FL",Daily
At Home [Sun],"Bremerton, WA",Daily
At Home [Times Union],"Albany, NY",Daily
At Your Leisure [Journal],"Ogdensburg, NY",Daily
Atchison Daily Globe,"Atchison, KS",
Athens Banner-Herald,"Athens, GA",
Athens Daily Review,"Athens, TX",
Athens Messenger,"Athens, OH",
Athens News,"Athens, OH",
Athol Daily News,"Athol, MA",
Atlanta & the World [Atlanta Journal/Constitution],"Atlanta, GA",Daily
Atlanta Inquirer,"Atlanta, GA",Weekly
Atlanta Journal-Constitution,"Atlanta, GA",
Atlanta Journal-Constitution,"Washington, DC",
Atlanta Journal-Constitution,"Norcross, GA",
Atlanta Journal-Constitution,"Fayetteville, GA",
Atlanta Journal-Constitution,"Marietta, GA",
Atlanta Journal-Constitution,"Woodstock, GA",
Atlanta Journal-Constitution,"Morrow, GA",
Atlanta Journal-Constitution,"Decatur, GA",
Atlanta Journal-Constitution – Cherokee and Cobb Bureau,"Marietta, GA",Daily
Atlanta Journal-Constitution – Clayton Fayette and Henry Bureau,"Woodstock, GA",Daily
Atlanta Journal-Constitution – DeKalb and Rockdale Bureau,"Decatur, GA",Daily
Atlanta Journal-Constitution – Fulton Bureau,"Conyers, GA",Daily
Atlanta Journal-Constitution – Gwinnett Bureau,"Norcross, GA",Daily
Atlanta Journal-Constitution – Washington Bureau,"Washington, DC",Daily
Atlanta Voice,"Atlanta, GA",Weekly
Atlantic News,"Hampton, NH",Weekly
Atlantic News-Telegraph,"Atlantic, IA",Daily
Atom Tabloid,"Rahway, NJ",Weekly
Auburn Journal,"Auburn, CA",
Auburndale Shopper,"Winter Haven, FL",Daily
Augusta Chronicle,"Augusta, GA",
Augusta Chronicle,"Evans, GA",
Augusta Chronicle,"Aiken, SC",
Augusta Chronicle – Aiken County Bureau,"Aiken, SC",Daily
Augusta Chronicle – Columbia County Bureau,"Augusta, GA",Daily
Augusta Daily Gazette,"Augusta, KS",
Augusta Focus,"Augusta, GA",
Aurora Daily Sun,"Aurora, CO",
Aurora Sentinel,"Aurora, CO",Weekly
Austell Neighbor,"Marietta, GA",Weekly
Austin American – Statesman,"Austin, TX",Daily
Austin American-Statesman,"Austin, TX",
Austin American-Statesman,"Round Rock, TX",
Austin American-Statesman,"Washington, DC",
Austin American-Statesman – Washington Bureau,"Washington, DC",Daily
Austin Chronicle,"Austin, TX",
Austin Daily Herald,"Austin, MN",
Auto [Deseret News],"Salt Lake City, UT",Daily
Auto [News & Observer],"Raleigh, NC",Daily
Auto [Sentinel-Tribune],"Bowling Green, OH",Daily
Auto Log [Tri-City Herald],"Kennewick, WA",Daily
Auto Motive [Indianapolis Star],"Indianapolis, IN",Daily
Auto Plus [Daily Herald],"Arlington Heights, IL",Daily
Auto Show Preview [Arizona Republic],"Phoenix, AZ",Daily
Auto Showcase [Daily Herald],"Arlington Heights, IL",Daily
Auto Update [Post-Crescent],"Appleton, WI",Daily
Auto Weekly [Daily News Tribune],"Falmouth, MA",Daily
Automobile Pages [Bristol Press],"Bristol, CT",Daily
Automobiles [New York Times],"New York, NY",Daily
Automotive [Herald News],"Little Falls, NJ",Daily
Automotive [Kansas City Star],"Kansas City, MO",Daily
Automotive [Mining Journal],"Marquette, MI",Daily
Automotive [New York Post],"New York, NY",Daily
Automotive [Post and Courier],"Charleston, SC",Daily
Automotive [Spectrum],"Saint George, UT",Daily
Automotive Section [Sacramento Bee],"Sacramento, CA",Daily
Automotive Weekly [Times Union],"Albany, NY",Daily
Autos [Detroit News],"Detroit, MI",Daily
Autos [Plain Dealer],"Cleveland, OH",Daily
Autos [Valley News],"West Lebanon, NH",Daily
AutoTimes [Chicago Sun-Times],"Chicago, IL",Daily
Autoweekend [Washington Times],"Washington, DC",Daily
Aventura News,"South Miami, FL",Weekly
Avenue News,"Middle River, MD",Weekly
Avery Journal,"Newland, NC",
AZ Home [Arizona Republic],"Phoenix, AZ",Daily
Azteca News,"Santa Ana, CA",
Back Of The Yards Journal,"Chicago, IL",Weekly
Back Talk [Fresno Bee],"Fresno, CA",Daily
Badger Herald,"Madison, WI",Daily
Bajo El Sol,"Yuma, AZ",Weekly
Baker City Herald,"Baker City, OR",
Baker County Press,"Macclenny, FL",
Bakersfield Californian,"Bakersfield, CA",
Bakersfield News Observer,"Bakersfield, CA",Weekly
Ball State Daily News,"Muncie, IN",Daily
Baltimore Examiner,"Baltimore, MD",Daily
Baltimore Jewish Times,"Baltimore, MD",Weekly
Baltimore Sun,"Baltimore, MD",
Baltimore Sun,"Annapolis, MD",
Baltimore Sun,"Westminster, MD",
Baltimore Sun,"Columbia, MD",
Baltimore Sun,"Towson, MD",
Baltimore Times,"Baltimore, MD",Weekly
Bangor Daily News,"Bangor, ME",
Bangor Daily News – Calais Bureau,"Calais, ME",Daily
Bangor Daily News – Ellsworth Bureau,"Ellsworth, ME",Daily
Bangor Daily News – Houlton Bureau,"Houlton, ME",Daily
Bangor Daily News – Madawaska Bureau,"Madawaska, ME",Daily
Bangor Daily News – Pittsfield Bureau,"Pittsfield, ME",Daily
Bangor Daily News – Presque Isle Bureau,"Presque Isle, ME",Daily
Bangor Daily News – Rockland Bureau,"Rockland, ME",Daily
Bangor Daily News – State House Bureau,"Augusta, ME",Daily
Banner-Graphic,"Greencastle, IN",Daily
Banner-News,"Magnolia, AR",Daily
Banner-Press,"Brenham, TX",Daily
Baptist & Reflector,"Brentwood, TN",Weekly
Baptist Courier,"Greenville, SC",Weekly
Baptist Messenger,"Oklahoma City, OK",
Baptist Record,"Jackson, MS",Weekly
Baptist Standard,"Dallas, TX",Weekly
Bar Update [Daily Record],"Omaha, NE",Daily
Baraboo News Republic,"Baraboo, WI",Daily
Barberton Herald,"Barberton, OH",
Barbourville Mountain Advocate,"Barbourville, KY",
Bargain Book,"Brownsville, TX",Weekly
Bargain Hunter,"Isle, MN",Weekly
Bargain Hunter [Brenham Banner-Press],"Brenham, TX",Daily
Bargain News,"Trumbull, CT",Weekly
Barnstable Patriot,"Hyannis, MA",
Barre Gazette,"Barre, MA",
Barrow County News,"Winder, GA",
Bartlesville Examiner-Enterprise,"Bartlesville, OK",
Bartow Neighbor,"Cartersville, GA",
Bastrop Advertiser,"Bastrop, TX",
Bastrop Daily Enterprise,"Bastrop, LA",Daily
Batavia Daily News,"Batavia, NY",
Batesville Guard,"Batesville, AR",
Baton Rouge Daily Legal News,"Baton Rouge, LA",Daily
Battalion,"College Station, TX",Daily
Battle Creek Enquirer,"Battle Creek, MI",
Battle Creek Shopper News,"Battle Creek, MI",Weekly
Baxter Bulletin,"Mountain Home, AR",
Bay Bulletin,"Melbourne, FL",Weekly
Bay City Tibune,"Bay City, TX",Daily
Bay City Times,"Bay City, MI",
Bay Life at Home [Tampa Tribune],"Tampa, FL",Daily
Bay News,"Brooklyn, NY",Weekly
Bay Ridge Paper,"Brooklyn, NY",Weekly
Bay Voice,"New Baltimore, MI",Weekly
Bay Weekly,"Annapolis, MD",
Bay Weekly,"Deale, MD",Weekly
Bayonet,"Fort Benning, GA",Weekly
Bayonne Community News,"Bayonne, NJ",Weekly
Bayonnet,"Fort Benning, GA",Weekly
Bayou Catholic,"Schriever, LA",
Bayside Tribune at Home,"Fresh Meadows, NY",Weekly
Baytown Sun,"Baytown, TX",
Beach Beacon,"Seminole, FL",Weekly
Beach Reporter,"Manhattan Beach, CA",Weekly
Beachcomber,"Long Beach, CA",
Beachcomber,"Ocean City, MD",Weekly
Beacon,"Williams Bay, WI",
Beacon,"Clifton, NJ",Weekly
Beacon,"Babylon, NY",Weekly
Beacon Communications,"Warwick, RI",
Beacon Dispatch,"Beacon, NY",
Beacon Magazine [Akron Beacon Journal],"Akron, OH",Daily
Beacon Mail-Bag,"Manahawkin, NJ",Weekly
Beacon News,"Aurora, IL",
Bear Facts of Maine,"South Waterford, ME",Weekly
Beatrice Daily Sun,"Beatrice, NE",Daily
Beaufort Gazette,"Beaufort, SC",
Beaumont Enterprise,"Beaumont, TX",
Beaumont Enterprise – Washington Bureau,"Washington, DC",Daily
Beauregard Daily News,"Deridder, LA",Daily
Beaver County Times,"Beaver, PA",
Beavercreek News Current,"Xenia, OH",Daily
Beaverton Valley Times,"Portland, OR",
Becker County Record,"Detroit Lakes, MN",
Bedford Gazette,"Bedford, PA",
Bee,"Daingerfield, TX",
Bee,"Hutchinson, KS",Weekly
Bee & Herald Publishing Company,"Jefferson, IA",
Beeville Bee-Picayune,"Beeville, TX",
Beirut Times,"Los Angeles, CA",
Bell Gardens Review,"Los Angeles, CA",Weekly
Bell Maywood Cudahy Industrial Post,"Los Angeles, CA",Weekly
Belle Meade News,"Nashville, TN",Weekly
Bellefontaine Examiner,"Bellefontaine, OH",
Belleville News-Democrat,"Belleville, IL",
Belleville News-Democrat,"Collinsville, IL",
Belleville News-Democrat,"Edwardsville, IL",
Bellevue Gazette,"Bellevue, OH",
Bellevue Leader,"Bellevue, NE",Weekly
Bellingham Herald,"Bellingham, WA",
Beloit Call,"Beloit, KS",
Beloit Daily News,"Beloit, WI",
Belvedere Citizen,"Los Angeles, CA",Weekly
Belvidere Daily Republican,"Belvidere, IL",Daily
Benicia Herald,"Benicia, CA",Daily
Bennington Banner,"Bennington, VT",Daily
Bent County Democrat,"Las Animas, CO",
Benton County Daily Record,"Bentonville, AR",
Benton Courier,"Benton, AR",Daily
Benton Evening News,"Benton, IL",Daily
Bergen News,"Cliffside Park, NJ",Weekly
Berkeley Daily Planet,"Berkeley, CA",
Berkeley Heights/New Providence Independent Press,"New Providence, NJ",Weekly
Berkeley Metro Reporter,"San Francisco, CA",
Berkeley Tri-City Post,"Oakland, CA",Weekly
Berkeley Voice,"Richmond, CA",
Berkshire Eagle,"Pittsfield, MA",
Berkshire Eagle – North County Bureau,"North Adams, MA",Daily
Berkshire Eagle – South County Bureau,"Great Barrington, MA",Daily
Berlin Daily Sun,"Berlin, NH",Daily
Berlin Journal Company,"Berlin, WI",
Berlin Reporter,"Berlin, NH",Daily
Berwyn-Cicero-Stickney-Forest View Life,"North Riverside, IL",Weekly
Best Food Day [Claremore Daily Progress],"Claremore, OK",Daily
Best Food Day [Mount Pleasant News],"Mount Pleasant, IA",Daily
Best Years [Daily News],"Rhinelander, WI",Daily
Bethany Republican-Clipper,"Bethany, MO",Weekly
Bethel Citizen,"Bethel, ME",
Bethesda Gazette,"Gaithersburg, MD",Weekly
Beverly Hills Courier,"Beverly Hills, CA",Weekly
BG Daily News,"Bowling Green, KY",Daily
BG News,"Bowling Green, OH",Daily
Biblical Recorder,"Raleigh, NC",
Biddeford-Saco-Old Orchard Beach Courier,"Biddeford, ME",Weekly
Big Bend Gazette,"Terlingua, TX",
Big E [Telegraph],"Dixon, IL",Daily
Big Nickel Advertiser,"Cape Girardeau, MO",Weekly
Big Sandy News,"Paintsville, KY",
Big Spring Herald,"Big Spring, TX",Daily
Billboard Shopper,"Berlin, WI",Weekly
Billings Gazette,"Billings, MT",
Billings Gazette,"Helena, MT",
Billings Gazette – Cody Bureau,"Cody, WY",Daily
Billings Gazette – State Bureau,"Helena, MT",Daily
Birmingham News,"Birmingham, AL",
Birmingham News,"Montgomery, AL",
Birmingham News,"Hoover, AL",
Birmingham News – Montgomery Bureau,"Montgomery, AL",Daily
Birmingham News – Washington Bureau,"Washington, DC",Daily
Birmingham Post-Herald – Washington Bureau,"Washington, DC",Daily
Birmingham Times,"Birmingham, AL",
Birmingham Weekly,"Birmingham, AL",
Birmingham-Bloomfield Eagle,"Warren, MI",
Bisbee Daily Review,"Bisbee, AZ",Daily
Bishop’s Bulletin,"Sioux Falls, SD",Weekly
Bismarck Tribune,"Bismarck, ND",
Black Chronicle,"Oklahoma City, OK",Weekly
Black Hills Pioneer,"Spearfish, SD",
Black Mountain News,"Black Mountain, NC",
Black Star News,"New York, NY",
Black Voice News,"Riverside, CA",
Blackwell Journal-Tribune,"Blackwell, OK",
Blade,"Toledo, OH",
Blade,"Columbus, OH",
Blade – Bowling Green Bureau,"Bowling Green, OH",Daily
Blade – Columbus Bureau,"Columbus, OH",Daily
Blade – Maumee Bureau,"Maumee, OH",Daily
Blade – Monroe Bureau,"Monroe, MI",Daily
Blade-Empire,"Concordia, KS",Daily
Bladen Journal,"Elizabethtown, NC",Daily
Block Island Times,"Block Island, RI",
Bloomfield Free Press,"Bloomfield, IN",
Blue Ridge Leader,"Purcellville, VA",
Blue Valley and Leawood Neighborhood News,"Overland Park, KS",Daily
Blue Valley Times,"Pen Argyl, PA",Weekly
Bluefield Daily Telegraph,"Princeton, WV",
Bluefield Daily Telegraph,"Bluefield, WV",
Bluffton Today,"Bluffton, SC",
Blytheville Courier News,"Blytheville, AR",
Boca Raton News,"Boca Raton, FL",
Boca Thursday,"Pompano Beach, FL",Weekly
Body and Mind [Detroit Free Press],"Detroit, MI",Daily
Boise Weekly,"Boise, ID",
Bolivar Commercial,"Cleveland, MS",Daily
Bombardier,"Barksdale AFB, LA",
Bond Buyer – Chicago Bureau,"Chicago, IL",Daily
Bond Buyer – Washington Bureau,"Washington, DC",Daily
